"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
240,"The Rolling Stones","You Can't Always Get What You Want",1969,0,"",730.11,200.36
241,"The Beatles","A Day In The Life",1967,0,"",663.36,141.32
242,"Sting","Englishman In New York",1988,9,"top40",1201.68,236.5
243,"Editors","Papillon",2009,23,"top40",1729.1,338.74
244,"The Killers","Mr. Brightside",2005,0,"",1628.01,163.98
245,"Bruce Springsteen","I'm On Fire",1985,1,"top40",1147.24,377.36
246,"The Cult","She Sells Sanctuary",1986,11,"tip",1167.77,185.83
247,"Boudewijn de Groot","Testament",1967,0,"",666.22,251.08
248,"Elvis Presley","In The Ghetto",1969,4,"top40",723.71,378.86
249,"Neil Young","Old Man",1972,15,"tip",830.17,353.73
250,"Scorpions","Wind Of Change",1991,1,"top40",1290.55,231.91
251,"Mark Ronson Feat. Bruno Mars","Uptown Funk!",2014,4,"top40",1866.18,158.03
252,"Nirvana","Lithium",1991,16,"top40",1292.3,114.67
253,"The Common Linnets","Calm After The Storm",2014,2,"top40",1871.02,330.89
254,"Prince & The Revolution","Sometimes It Snows In April",1996,0,"",1406.01,256.36
255,"The Mamas & The Papas","California Dreamin'",1966,0,"",634.26,265.93
256,"André Hazes","Zij Gelooft In Mij",2000,1,"top40",1517.05,333.98
257,"Oasis","Don't Look Back In Anger",1996,33,"top40",1407.06,167
258,"Led Zeppelin","Kashmir",1975,0,"",876.3,85.48
259,"Cuby & The Blizzards","Window Of My Eyes",1968,10,"top40",701.92,290.42
260,"Keane","Somewhere Only We Know",2004,15,"top40",1597.78,287.98
261,"10CC","Dreadlock Holiday",1978,1,"top40",969.93,364.3
262,"Bruce Springsteen","Dancing In The Dark",1984,1,"top40",1120.63,149.3
263,"Bill Withers","Ain't No Sunshine",1971,21,"top40",788.78,321.71
264,"Guns N' Roses","Knocking On Heaven's Door",1992,1,"top40",1312,318.47
265,"Creedence Clearwater Revival","Fortunate Son",1969,0,"",746.66,319.89
266,"Kayak","Ruthless Queen",1979,6,"top40",982.91,324.47
267,"De Dijk","Als Ze Er Niet Is",1994,5,"top40",1371.69,170.77
268,"Fleetwood Mac","Sara",1980,10,"top40",1026.33,154.57
269,"Janis Joplin","Me And Bobby McGee",1971,17,"top40",790.44,223.91
270,"David Bowie","Starman",1972,0,"",816.08,92.76
271,"Gotye","Somebody That I Used To Know",2011,1,"top40",1780.2,342.06
272,"Mumford & Sons","The Cave",2010,0,"",1749.39,169.06
273,"Damien Rice","9 Crimes",2006,5,"tip",1642.37,176.26
274,"Acda En De Munnik","Lopen Tot De Zon Komt",1997,0,"",1422.66,341.98
275,"ABBA","The Day Before You Came",1982,3,"top40",1073.08,114.84
276,"Santana","Black Magic Woman",1970,7,"tip",762.84,384.18
277,"Ike & Tina Turner","Proud Mary",1971,6,"top40",797.44,175.89
278,"Sinead O'Connor","Troy",1987,5,"top40",1191.7,151.6
279,"Peter Fox","Haus Am See",2009,17,"top40",1713.17,344.13
280,"Alphaville","Forever Young",1984,18,"top40",1119.57,166.17
281,"Eric Clapton","Layla",1992,4,"top40",1312.47,242.55
282,"Green Day","Boulevard Of Broken Dreams",2004,34,"top40",1614.11,174.91
283,"Van Morrison","Brown Eyed Girl",1967,16,"top40",664.56,359.8
284,"Creedence Clearwater Revival","Bad Moon Rising",1969,10,"top40",710.37,388.83
285,"Eagles","One Of These Nights",1975,5,"top40",884.73,107.39
286,"Metallica","Fade To Black",1984,0,"",1117.33,386.79
287,"De Jeugd Van Tegenwoordig","Sterrenstof",2010,8,"top40",1752.35,332.13
288,"Alice Cooper","Halo Of Flies",1973,5,"top40",835.1,125.18
289,"Peter Gabriel","Solsbury Hill",1977,11,"top40",922.06,214.54
290,"Volbeat","Lola Montez",2013,0,"",1833.08,228.22
291,"Cat Stevens","Morning Has Broken",1972,5,"top40",814.98,342.95
292,"Snow Patrol","Run",2004,22,"top40",1605.57,304.49
293,"Johnny Cash","Ring Of Fire",1963,0,"",577.61,251.88
294,"The Rolling Stones","(I Can't Get No) Satisfaction",1965,1,"top40",611.44,208.67
295,"Michel Fugain","Une Belle Histoire",1972,0,"",810.42,165.25
296,"Within Temptation","Ice Queen",2002,4,"top40",1540.77,334.52
297,"Arctic Monkeys","Do I Wanna Know",2013,0,"",1815.12,228.14
298,"Bløf","Liefs Uit Londen",1998,13,"top40",1462.73,310.05
299,"Joe Cocker","With A Little Help From My Friends",1968,2,"top40",701.94,149.5
300,"Boudewijn de Groot","Verdronken Vlinder",1966,12,"tip",637.53,249.79
301,"Jefferson Airplane","White Rabbit",1970,3,"top40",752.9,156.27
302,"Freddie Mercury & Montserrat Caballé","Barcelona",1987,2,"top40",1184.36,315.86
303,"Peter Maffay","Du",1971,1,"top40",788.3,386.95
304,"Bruce Springsteen","Thunder Road",1975,0,"",903.67,126.41
305,"Evanescence","My Immortal",2003,5,"top40",1587.82,329.7
306,"Alice Cooper","Poison",1989,10,"top40",1215.58,244.87
307,"Seal","Kiss From A Rose",1994,4,"top40",1360.55,182.92
308,"Frank Boeijen Groep","Kronenburg Park",1985,12,"top40",1127.21,213.29
309,"Peter Gabriel & Kate Bush","Don't Give Up",1986,4,"top40",1170.46,362.56
310,"David Bowie","Ashes To Ashes",1980,11,"top40",1029.15,364.65
311,"Bløf","Aan De Kust",1998,27,"top40",1465.47,287.38
312,"Editors","Smokers Outside The Hospital Doors",2007,0,"",1686.71,190.23
313,"Lynyrd Skynyrd","Free Bird",1974,0,"",864.4,325.12
314,"Muse","Plug In Baby",2001,0,"",1529.42,323.27
315,"Ultravox","Vienna",1981,1,"top40",1042.21,115.2
316,"Neil Young","Rockin' In The Free World",1989,0,"",1238.27,374.63
317,"Daft Punk","Get Lucky",2013,2,"top40",1833.13,149.83
318,"The Police","Every Breath You Take",1983,6,"top40",1091.76,365.5
319,"Queen","Killer Queen",1974,3,"top40",862.41,192.45
320,"Dire Straits","Walk Of Life",1985,20,"top40",1153.6,115.84
321,"Meat Loaf","Bat Out Of Hell",1977,0,"",932.01,101.86
322,"Billy Joel","She's Always A Woman To Me",1978,12,"top40",991.02,192.42
323,"The Waterboys","The Whole Of The Moon",1986,21,"top40",1172.03,270.14
324,"Golden Earring","Twilight Zone",1982,1,"top40",1069.43,188.61
325,"Armin van Buuren","This Is What It Feels Like",2013,3,"top40",1832.11,349.27
326,"Bløf","Zo Stil",2012,17,"top40",1802.73,311.94
327,"Metallica","Unforgiven",1991,27,"top40",1306.09,227.09
328,"America","A Horse With No Name",1972,11,"top40",815.49,235.93
329,"Robbie Williams","Feel",2002,1,"top40",1541.45,303.48
330,"Red Hot Chili Peppers","Snow (Hey Oh)",2006,5,"top40",1658.42,175.79
331,"Bob Marley & The Wailers","Three Little Birds",1977,0,"",912.83,293.84
332,"Guus Meeuwis","Geef Mij Je Angst",2004,1,"top40",1612.78,318.63
333,"Queen","These Are The Days Of Our Lives",1991,0,"",1283.12,276.39
334,"Goo Goo Dolls","Iris",1999,8,"top40",1481.75,199.67
335,"Faithless","God Is A DJ",2004,1,"top40",1600.52,166.61
336,"Normaal","Oerend Hard",1977,2,"top40",947.67,165.42
337,"Massive Attack","Unfinished Sympathy",1991,1,"top40",1287.22,207.67
338,"Normaal","Deurdonderen",1982,17,"top40",1046.53,241.28
339,"Skik","Op Fietse",1997,29,"top40",1434.33,254.21
340,"Tom Odell","Another Love",2012,8,"top40",1803.2,330.59
341,"Fleetwood Mac","Dreams",1977,8,"top40",948.97,220.22
342,"Boudewijn de Groot","De Vondeling Van Ameland",2004,0,"",1603.43,330.89
343,"B.B. King","The Thrill Is Gone",1969,0,"",737.38,387.27
344,"Madness","One Step Beyond",1979,34,"top40",984.89,370.28
345,"Bob Dylan","Like A Rollin' Stone",1965,7,"top40",617.86,240.21
346,"Coldplay","Paradise",2011,3,"top40",1786.79,148.7
347,"Neil Young","Like A Hurricane",1977,0,"",961.25,397.72
348,"The Band","The Weight",1968,22,"top40",717.09,190.88
349,"Rowwen Hèze","November",2000,0,"",1494.76,208.82
350,"Queensrÿche","Silent Lucidity",1990,27,"top40",1255.77,344.1
351,"Ramses Shaffy & Liesbeth List & Alderliefste","Laat Me (Vivre)",2005,18,"top40",1633.01,198.84
352,"Phil Collins","Against All Odds",1984,10,"top40",1131.28,379.47
353,"Within Temptation","Mother Earth",2002,25,"top40",1544.18,318.58
354,"Prince","Sign 'O' The Times",1987,6,"top40",1193.87,170.31
355,"Eagles","Take It Easy",1972,0,"",814.76,358.42
356,"De Dijk","Niemand In De Stad",1990,0,"",1232.46,139.59
357,"Mumford & Sons","Little Lion Man",2009,4,"tip",1711.82,196.37
358,"Racoon","Don't Give Up The Fight",2011,20,"top40",1780.08,203.28
359,"Frank Sinatra","My Way",1969,36,"top40",720.1,99.36
360,"The Doors","L.A. Woman",1971,0,"",786.9,187.41
361,"Sinead O'Connor","Nothing Compares 2 U",1990,1,"top40",1248.6,215.65
362,"U2","Pride",1984,8,"top40",1126.3,252.15
363,"Justin Timberlake","Can't Stop The Feeling",2016,1,"top40",1918.53,262.26
364,"Counting Crows & Bløf","Holiday In Spain",2004,1,"top40",1600,181.82
365,"Kensington","Sorry",2016,15,"top40",1925.24,244.51
366,"Earth Wind & Fire","Fantasy",1978,6,"top40",963.78,199.86
367,"Bastille","Pompeii",2013,14,"top40",1814.99,321.02
368,"Dire Straits","Romeo And Juliet",1980,0,"",1010.8,364.92
369,"Elvis Costello","She",1999,10,"tip",1481.19,170.03
370,"De Dijk","Dansen Op De Vulkaan",1987,4,"tip",1184.81,130.25
371,"Green Day","Basket Case",1994,4,"tip",1373.24,251.53
372,"10CC","I'm Not In Love",1975,5,"top40",897.85,260.48
373,"Bløf","Harder Dan Ik Hebben Kan",1999,11,"top40",1483.15,337.4
374,"Marco Borsato","Margherita",1996,3,"top40",1405.48,316.88
375,"ABBA","Eagle",1978,4,"top40",963.51,332.09
376,"Nirvana","The Man Who Sold The World (unplugged)",1994,0,"",1360.12,244.95
377,"The Doors","Light My Fire",1967,25,"top40",666.08,305.13
378,"ABBA","Thank You For The Music",1978,38,"top40",968.86,85.62
379,"David Bowie","China Girl",1983,2,"top40",1087.78,383.24
380,"Kiss","I Was Made For Loving You",1979,1,"top40",991.67,353.89
381,"Van Morrison","Have I Told You Lately That I Love You",1989,11,"top40",1245.79,333.21
382,"Pink Floyd","Time",1973,0,"",843.65,240.12
383,"Joy Division","Love Will Tear Us Apart",1980,0,"",1007.7,319.92
384,"Aerosmith","I Don't Want To Miss A Thing",1998,3,"top40",1468,271.78
385,"Michael Jackson","Smooth Criminal",1988,1,"top40",1209.08,329.95
386,"Michael Jackson","Dirty Diana",1988,2,"top40",1220.19,225.17
387,"The Beatles","Strawberry Fields Forever",1967,1,"top40",679.43,285.98
388,"Iron Maiden","Can I Play With Madness",1988,14,"top40",1203.13,208.44
389,"Bruce Springsteen","Born In The USA",1985,10,"top40",1153.06,302.83
390,"Herbert Grönemeyer","Halt Mich",1988,23,"top40",1211.59,307.41
391,"Michael Jackson","Beat It",1983,1,"top40",1090.29,179.64
